Turkish,English
cuma,Friday
itibaren,from
birbirimizi,each other
şimdiden,already
değilmiş,not
amy,amy
üzüldüm,I'm upset
idare,administration
döneceğim,I will come
kitabı,book
filan,blah
yapamazsın,You can not
topu,ball
silahını,your weapon
canını,your life
hangisi,which?
sıradaki,Next
kardeşi,brother
kayıt,record
dediğim,what I say
bağlantı,connection
maalesef,Unfortunately
farkındayım,I am aware
scott,scott
sayılır,sort of
unuttum,I forgot
görüşmek,to meet 
neymiş,what is it
söylemiş,he said
hissettim,I felt
dönüyor,Returning
hayalet,ghost
enerji,energy
veremem,can not give
nasıi,how
cesur,brave
yapılan,done
aşağıya,down
bilirim,I know
yaptığımız,what we do
okulda,at school
anna,Anna
yapıp,and doing
bırakmak,To leave
numarası,its number
san,singing
edilmiş,signed
sağlık,health
annemi,my mother
ün,Fame
yapmamı,I do
sizce,what do you think
olacaktı,it would be
savunma,defense
gördü,he saw
buradayız,we are here
doğu,East
merkezi,central
yaparsın,you do
sinir,border
çalıştı,worked
pete,pete
yasal,legal
anlaşılan,apperantly
canavar,monster
söylediği,what he says
şeylerin,your things
istemiştim,I wanted
kızla,with the girl
uyuyor,sleeping
girecek,will enter
biriydi,was one
görüyorsun,you see
şeydi,it was
barış,peace
ihanet,betrayal
suçu,water seller
umut,hope
bunca,so much
edeceksin,you will
vereyim,let me give
iz,trace
vermeye,to give
mücadele,struggle
yıllık,yearly
kilo,kilo
bulunan,found
los,loess
kırıklığına,disappointment
göremiyorum,I can not see
doğruyu,the truth
lisa,lisa
yapacağını,what
ödeme,payment
ettiler,they
di,diagonal
İçinde,Inside
kar,snow
kazanmak,to win
baskı,oppression
clark,Clark
claire,Claire
binbaşı,major
yapıyorlar,They are doing
olmaktan,from being
alakası,relevance
parası,money
gözden,out of sight
demiştin,you said
çıkarın,take off
and,and
mahkeme,court
nedenle,therefore
sus,shush
sistemi,system
çirkin,ugly
konuşmam,I don't talk
sanat,art
tavuk,chicken
yıllardır,for years
fransız,French
yarar,benefit
arabada,In the car
hayatının,Your life
bizde,We have
düşündün,you thought
konuşuyorsun,you are talking
b,B
çalıştığını,that you work
emir,order
kurşun,bullet
çıkın,go out
gerekirdi,it would have
açıkçası,frankly
dönerim,I return
otel,hotel
baktım,I looked
uzay,space
sonuç,conclusion
İngiltere,Britain
doğrusu,actually
ted,ted
söylemedi,did not say
vermiş,given
peşinden,after
içeride,inside
şirket,company 
akıl,mind
hepimizin,all of us
sevdiğini,what you love
sakıncası,drawback
parlak,shiny
dokunma,Do not touch
kalıyor,staying
gene,again
eline,in the hands of
alma,taking
nazik,kind
kyle,kyle
söyleyebilirim,I can say
batı,West
başlangıç,beginning
öldüğünü,that he died
cumartesi,Saturday
yangın,fire
girin,enter
tv,TV
karışık,mixed
bulmuş,found
ilişki,relationship
yolculuk,journey
jason,jason
İnan,Believe
olsaydım,If I was
vermeyeceğim,I will not give
hay,hay
etrafında,around
geçirdim,I spent
konuşmamız,our talk
üstelik,besides
kredi,credit
düşman,enemy
söylediğin,what you say
işimiz,Our job
madam,madam
vahşi,wild
ameliyat,operation
banka,bank
onca,all all
çalışmaya,to work
öğleden,noon
boşa,intense
çıkarmak,subtract
nihayet,finally
bulundu,found
istiyordum,I wanted
yukarıda,above
insanı,human
prenses,princess
larry,Larry
yüzde,percentage
şeylere,to things
çıkış,exit
saç,hair
kadınla,with a woman
elektrik,electricity
onda,in it
sevimli,pleasant
kamera,camera
gecesi,night
bunda,in this
unuttun,you forgot
söylesene,tell me
yüzüne,to your face
boktan,shitty
param,my money
çıkacak,will be released
luke,Luke
gösteri,show
şehirde,in the city
televizyon,television
bulacağım,I will find
annie,Annie
tanışmak,meet
İç,Internal
kokuyor,smells
olduğumuz,we are
kalma,stay
şansın,Your luck
sosyal,social
futbol,football
birisin,you are someone
aniden,abruptly
ulusal,National
eğitim,education
gönderdi,sent
acayip,strange
varken,while there
emily,emily
İkiniz,Two of you
geçirmek,put in
duygusal,emotional
yalancı,liar
değişti,changed
zamanımız,Our time
mutlaka,definitely
söylediğini,what he said
sean,sean
fransa,France
tespit,detection
öldür,kill
dahi,genius
olmanı,your being
ortasında,in the middle of
kalır,remains
duruma,to the situation
dediğini,what you say
angeles,Angeles
thomas,Thomas
takımı,team
emri,order
söyleyebilir,can say
olmanın,Being
cesaret,bravery
bakıyorsun,you are looking
alice,alice
varım,I exist
nedenini,why
başlar,starts
öldürüldü,killed
yapılmış,made
arthur,arthur
intihar,suicide
gecenin,night
yaparız,we do
şansımız,Our chances
getirmek,to bring
fikri,intellectual
tecavüz,rape
chuck,chuck
çekip,pulling
getirdin,you brought
söyleyemem,I can not say
attı,threw
nerden,from where
eli,his hand
öldürecek,will kill
bakar,looks
edici,substitutable
bilirsiniz,you know
aşkım,My love
başarısız,unsuccessful
tren,train
şirketi,company
oluyorum,I am
örnek,example
evime,to my house
olmalıyım,I must be
almam,I don't buy
genel,general
carter,Carter
ailen,family
gitmeye,to go
kimdi,who was
düşük,low
teknik,technical
ihtiyacınız,you need
iyisin,you are good
kullan,use
günlük,daily
arabanın,your car
koruma,protection
matt,matt
inanıyor,believes
kalacağım,I will stay
düşünüyorsunuz,you think
eğlence,fun
partisi,party
koç,ram
aramaya,to search
gideyim,let me go
hatam,my mistake
ediyordum,I was
şerefe,Cheers
dave,dave
taksi,taxi
durma,stop
arayacağım,I will call
diyorlar,they say
cesedi,the body
km,km
çiçek,flower
inşa,construction
şeyle,with what
tadını,taste
ed,ed
çocuklara,to children
tanık,witness
kahvaltı,breakfast
kendinizi,yourself
buranın,here
korku,horror
şehri,city
yatağa,To bed
düşünmek,think
yolun,road
tanesi,gentleman
konuşuruz,talking
roma,Rome
eh,eh
etmesi,to
avrupa,Europe
inanmıyorum,I do not believe
ettiğin,you do
yoğun,busy
kadına,to woman
utanç,shame
olunca,when
tarih,Date
degil,not
yerin,Your place
yapmayın,do not do
elbise,dress
demedim,I didn't say
başını,your head
şehrin,The city
yerel,local
kaldın,you stayed
dediğin,you say
ceza,punishment
gelirim,I will come
etkileyici,influential
zamanın,Your time
görevi,task
bilen,knowing
washington,Washington
hakkındaki,about
zorla,hardly
yat,sleep
geliyorlar,they come
ucuz,cheap
joey,Joey
tehlikeye,to danger
gidebilir,can go
tarihi,date
bizler,us
derler,they say
yaptınız,you did
yirmi,twenty
öldüreceğim,I will kill
gören,sees
tepki,reaction
kayboldu,disappeared
etmelisin,you should
sürer,takes
pişman,regret
yılda,annually
araç,vehicle
simon,Simon
mıydın,Are you
anahtarı,switch
önümüzdeki,next
İmdat,Help
açıkça,clearly
ölecek,it will die
gerçi,though
çekmek,to pull
vermem,I do not give
umurunda,cares
paraya,money
beyefendi,gentleman
boyu,length
ülke,country
sevgi,love
hissediyorsun,you feel
sürtük,slut
edersen,if you
ihtimalle,probably
gitmemiz,we go
gitmiyor,not going
sordum,I asked
olabilirdi,could have been
öyledir,so
rol,role
pahalı,expensive
yakaladım,I caught
planı,plan
oluruz,we will be
dev,giant
it,it
getireyim,let me bring
ım,I am
sendin,you were
dersiniz,you say
içindeki,in
yaşıyorum,I live
oy,vote
sefere,on the expedition
muyuz,Are we
tanımıyorum,I don't recognise
sonrasında,after that
karşılık,opposite
üstü,top
fahişe,whore
um,um
keresinde,at all times
bulacağız,we will find
heyecan,excitement
düşünmüyorum,I don't think
etmiyorum,I do not
etmeliyiz,we must
hayata,To life
İstersen,If you want
aşağılık,Despicable
kullanmak,to use
leo,leo
çalışıyordu,Working
emredersiniz,"Yes, sir"
kullanıyor,uses
kıçını,your ass
İşler,Works
dert,trouble
denen,called
carl,Carl
sokak,street
bil,know
usta,expert
şeylerden,from things
giderim,I will go
kimsiniz,who are you?
yapılacak,to do
servis,service
fikrini,your idea
ekip,team
girerim,i enter
verebilir,can give
anahtar,key
lar,s
bakıyor,looking
isterseniz,if you want
kaba,rude
hastanede,at hospital
derecede,extent
kağıt,paper
vurdu,hit
ordu,army
hiçbiri,none
gaz,gas
görünce,when you see
endişe,anxiety
william,William
ödül,prize
pes,pes
okuldan,from school
şişe,bottle
kendisine,to herself
günlerde,days
halt,heck
yapmalıyız,We have to do
insanlarla,with people
verdik,we gave
telefonda,on the phone
romantik,romantic
müsaade,permit
üyesi,member of
şuradaki,there
öncelikle,Firstly
eşlik,accompaniment
genellikle,Generally
çocuğum,my child
devlet,state
dediğimi,what I said
yahudi,Jewish
aksi,opposite
saati,clock
çocuğa,to the child
götürün,take it
şansım,my luck
ekibi,team
ödünç,on loan
t,T
anneme,to my mom
harikaydı,was great
lord,lord
ailenin,Your family
denedim,I've tried
yardımı,assistance
büyü,Magic
istemez,unintentionally
iddia,allegation
giderken,on the way
tim,team
olmasa,if not
gördüğün,you see
jeff,Jeff
profesyonel,professional
düşündüğüm,I think
arabası,car
silahlı,armed
adamsın,You are the man
dahaki,more
derdi,would say
gözüküyor,appears
lucy,lucy
aklına,to your mind
benimki,mine
olağanüstü,extraordinary
ayakta,on foot
gerçekte,in reality
huzur,peace
veda,farewell
istemezsin,you don't want
kaldık,we stayed
emma,emma
c,C
sağlıklı,healthy
gizlice,secretly
diş,tooth
etmeliyim,I have to do
geliyorsun,You're coming
to,to
sezon,season
İşi,Heat
içmek,drink
meselesi,issue
boşver,nevermind
kraliçe,queen
yapması,to do
ilgi,interest
işimi,my job
eksik,missing
izlemek,to watch
görebiliyorum,I can see
bulup,find and find
neresi,where  
çıkma,emergence
afrika,Africa
bekliyorsun,you are waiting
bıçak,knife
ölümü,death
güzelmiş,it's nice
çocukken,as a child
havalı,airy
olmuştur,has been
kartı,card
buyur,there you go
söyleyen,saying
sorabilir,can ask
hiçbirşey,nothing
serseri,rascal
bileyim,I know
süt,milk
adalet,justice
atmak,to throw
sarı,yellow
babasının,His father
gelmişti,it came
verdiğin,you give
bari,at least
kendinden,self -esteem
kızları,daughters
fiziksel,physically
karşılığında,in return
yasak,forbidden
ayı,bear
saf,pure
öldüren,killing
mısır,sweetcorn
evlenmek,to marry
tıp,medicine
kalıp,pattern
onur,honour
yapabileceğim,I can do
okudum,I read
adamların,your guys
tanıdığım,I know
öyleydi,That was
bölümü,department
anlamıyorsun,you do not understand
tanıştığımıza,to meet
adi,First Name
olmazsa,if not
ü,ü
annemle,with my mom
nokta,point
maria,maria
ismini,your name
alakalı,relevant
şüphe,suspicion
İngilizce,English
rose,rose
ni,ni
dışına,outside
bildiğin,you know
birinde,in one
ediyordu,he was
kanı,belief
sanıyor,thinks
evim,my home
değilsiniz,you are not
geniş,Large
zamanım,my time
seyahat,trip
his,feeling
tıbbi,medical
li,Li
anlattı,told
federal,federal
kapıdan,through the door
geceleri,at night
abby,Abby
çeviren,translated
alışveriş,shopping
yara,wound
görmüştüm,I had seen
İkisi,The two
geceyi,the night
bişey,something
jenny,Jenny
yumurta,egg
geldiler,they came
döndüm,I got back
kuralları,rules
hakkı,right
riske,to risk
mil,shaft
çıkıyorum,getting out
öğrenci,student
bozuk,broken
hmm,hmm
temel,basis
birbirine,each other
seviyorsun,you love
hele,in particular
afedersin,you are sorry
tarafında,on the side of
aldığını,what he took
kafanı,your head
dost,friend
gördüğüme,what I see
haberim,my news
uyku,sleep
iletişim,Contact
kelly,Kelly
yahu,Yahu
odaya,in the room
gibidir,like this
bahsediyorum,I'm talking about
rus,Russian
gelmeden,before arriving
duydunuz,you heard
almayı,to buy
hakkımda,about me
tuzak,trap
okulu,school
birisini,someone
başta,first
bardak,glass
yerlere,to places
susan,Susan
babama,to my father
hemşire,nurse
dean,dean
gör,see
andan,from the moment
gelsin,come and come
görelim,see
meksika,Mexican
geldiği,it came
arası,between
çöp,rubbish
kararı,decision
gitmeden,without going
söylemeliyim,I must say
katı,thick
derim,I say
kendilerini,themselves
görünen,visible
kilometre,kilometer
bıktım,I am fed up
yanı,well
haftada,per week
bırakma,leaving
ettiniz,you did
ediyorsunuz,you are
gücünü,your strength
yapmaz,do not do
İçeride,Inside
karşısında,opposite
kalbi,heartland
kullanarak,using
olamazsın,You can't be
derdin,your problem
hırsız,thief
bakarım,I look
gözleri,eyes
üstesinden,overcoming
olduk,we have
arkadaşlarım,my friends
üzücü,sad
sahne,scene
hakim,judge
dinlemek,to listen
phil,Phil
yaşındaki,oldly
karmaşık,complicated
etsin,let it
unutmayın,Remember
dolarlık,dollar
tip,medicine
verdiğim,what I give
alanı,area
kutu,box
atış,shot
diğeri,the other
yardımcısı,assistant
sizler,you
ekmek,bread
kızıl,red
sizde,you have
tanrıya,to God
yaş,age
hayir,no
vermiyor,does not give
ilgilendirmez,unreliable
sola,left
çıkalım,Let's get out
çıktım,I went out
geçici,temporary
lily,lily
efendi,master
gelene,to come
anlatmak,tell
toplantı,meeting
İlginç,Interesting
louis,louis
takdir,discretion
izleri,traces
göze,to eye
olduğunun,that
içerisinde,in
geçerli,valid
tak,plug
programı,program
hafif,light
tehlike,danger
yetişkin,adult
sadık,loyal
roger,Roger
sevdiğin,your beloved
çalışırken,while working
bunlara,to these
buldunuz,you found
sipariş,order
kaybetti,lost
alacağız,we will take
partiye,to party
basın,Press
sanıyorum,I think
nden,Why
içinden,through
hastalık,disease
dönün,turn back
şeydir,is the thing
gündür,for the day
smith,Smith
randevu,meeting
şehre,to the city
julia,Julia
kaltak,bitch
oğlun,your son
görünmüyor,does not appear
farkına,to the awareness of
hükümet,government
söylüyorlar,they say
başım,my head
anı,moment 
cia,cia
belediye,municipality
olmadığına,that
edemezsin,you can't
haberler,news
nakit,cash
prens,prince
göreceksin,you will see
taylor,Taylor
korkuyor,scared
yardımına,to help
ateşi,fire
ateşli,hot
inan,believe
bitmedi,not over
bas,head
bedava,free
im,im
kişiler,persons
paramı,my money
doğrudan,directly
â,â
hassas,sensitive
komutan,commander
jackson,Jackson
olmazdı,would not be
çekti,pulled
neredeydin,where have you been
yumuşak,soft
adımı,my name
bakacağım,I will look
öldürdüm,I killed
aslına,to the original
çıkardın,you took off
köpeği,dog
hayatında,in your life
yılın,year
kafasını,his head
şok,shock
annene,to your mother
görmemiştim,I didn't see it
göreceğiz,We'll see
kendimizi,ourselves
kalbim,my heart
banyo,bathroom
dediği,what he said
kokusu,scent
bulun,find
amına,pussy
çekiyor,attracts
kıpırdama,movement
aldığım,I bought
başlamak,to start
seven,loving
kişilik,personality
işkence,torture
göstereceğim,I'll show
verdiler,they gave
ağaç,tree
ufaklık,kid
gönder,send
vegas,vegas
kurbanın,victim
kaybettik,we lost
kafana,your head
ölen,dying
üzerindeki,on you
karen,karen
sonrası,post-
etmedi,did not
anlamıyor,does not understand
hissediyor,feels
günden,from day to day
sağa,right
korkma,don't be afraid
biliyordun,you knew
video,video
aber,aber
değişiklik,change 
testi,testing
yapmıyorum,I'm not doing
gizemli,mysterious
etmedim,I didn't
önceydi,before
aydır,for the month
ler,s
doug,doug
olmalıyız,we must be
konuştun,you talked
olmaması,lack of
soruyorum,I'm asking
yaparsan,if you do
olmalısınız,You must be
gelirse,if it comes
gideceksin,you will go
olduğunuz,you are
taze,fresh
kafası,head
faydası,benefits
koyayım,let me put it
yaşa,law
etmen,factor
biter,ends
vaktim,my time
sürdü,continued
maggie,maggie
düşündüğünü,that you think
suya,water
gidebilirsin,you can go
girmiş,inserted
kafam,my head
sevdiği,love
şirin,cute
tanıyorsun,you know
getirir,brings
açıklama,explanation
kirli,dirty
jackie,Jackie
yüzü,face
burdan,from here
arayan,caller
yapıyordum,I was doing
çılgınca,crazy
mutluluk,happiness
gerekmez,not necessary
halk,people
biriyim,I am
istiyordu,he wanted
dış,teeth
edebilirsin,you can
ağzını,your mouth
pizza,pizza
bendim,it was me
yapmalıyım,I have to do
yatakta,on the bed
kalbini,your heart
düşünüyoruz,we think
telefonunu,phone
göstereyim,Let me show you
cam,pine
yaptıklarını,what they do
grubu,group
pazartesi,Monday
heyecanlı,excited
bakarsan,If you look
grace,Grace
birliği,unity
red,rejection
morgan,Morgan
nathan,Nathan
aramak,search
kontrolü,control
alacaksın,you will take
şunları,these
komiser,commissioner
chloe,chloe
taki,gift of jewelry
etkisi,impact
vücut,body
aklından,from your mind
babanı,Your father
koyun,sheep
çalıştığım,I work
arayın,call
durdur,stop
doktora,doctorate
buçuk,half
bildiğini,what you know
çalışmıyor,not working
açığa,respected
duyduğuma,I heard
İğrenç,Disgusting
geçer,passing
veriyorsun,you give
sara,epilepsy
gergin,moody
duş,shower
gary,Gary
gerektiği,must
yaşasın,Long live
unutmuşum,I forgot
anneni,Your mom
aynısını,the same
öbür,glutton
kadınların,women
geldiğin,you come
rock,rock
duymadım,I did not hear
sonucu,results
ederek,by
kralı,King of
yavaşça,slowly
taraf,side
hesap,account
yeteri,sufficient
zenci,black
robin,Robin
kısmını,part
istediğiniz,you want
howard,Howard
cehennem,hell
İnsanları,People
tuvalete,to the toilet
yarısını,half
josh,josh
er,prick
yüzlerce,hundreds of
gelmesini,to come
olmasaydı,if not
elimi,my hand
dayan,Hang on
ayakkabı,shoes
ölümcül,fatal
yokmuş,there was no
katılıyorum,I agree
rüzgar,wind
amerikalı,American
ipucu,clue
fırsatı,the opportunity
sürede,in time
delik,hole
gelme,coming
stan,stan
ª,ª
düşündüğün,you think
geçirdi,spent
umrumda,I care
düşünmeye,to think
yorgun,tired
dövüş,fight
hank,Hank
planın,Your plan
patrick,patrick
ederken,while
kart,card
gönüllü,volunteer
aldığı,receiving
canın,your life
bulmalıyız,we must find
haberin,news
bakış,view
havada,in the air
nı,ni
bilet,ticket
alabilirsin,you can take
kuru,dry
gideriz,we go
olayın,your event
bekliyoruz,we are waiting
paranın,Your money
krizi,crisis
seninki,yours
tahliye,evacuation
rahip,priest
sözü,word
bekliyordum,I was waiting
julie,Julie
gitmiyorum,I'm not going
anlamak,understand
anlayamadım,I don't understand  
ilan,advert 
milyonlarca,millions
şaşırtıcı,amazing
halinde,in case of
masa,table
hastane,hospital
başkası,somebody else
kocası,her husband
yapmanı,you do
kasaba,town
dönüş,return
sorunumuz,Our Problem
sahiden,really
l,L
yaşıyorsun,You live
sorular,Questions
kurtarmaya,to rescue
yazı,writing
oğlumu,my son
ışığı,light
yazar,Writer
van,van
kapıya,to the door
no,no
ndan,from
bilmeni,you know
etmeden,without
yapamaz,can not do
kadınları,women
kırık,broken
denemek,to try
demiş,said
davayı,the case
dönecek,will return
gibiyim,I'm like
istemiyorsun,you do not want
biridir,is one
konuşuyorum,I'm talking
babana,to your father
sordu,asked
hindistan,India
yapmayacağım,I will not do
koku,smell
oluyorsun,you are
çaldı,stolen
kural,rule
gemisi,ship
temsil,representation
beklemek,to wait
tutuyor,holding
verelim,let's give
etmiştim,I had
müşteri,customer
victor,victor
aşkın,over
anlarsın,you understand
trafik,traffic
birleşik,unified
arıyoruz,we're searching
lezzetli,tasty
şikayet,complaint
duymuştum,I heard
günah,sin
peşine,after
hızla,quickly
sandın,You thought
dikkatini,your attention
kalacaksın,you will stay
öğretmen,teacher
arkadaşları,friends
tebrik,greeting
tatil,holiday
otobüs,bus
öne,what's that
üniversite,university
bilemezsin,you can not know
süreliğine,for a while
verirsen,if you give
dönmüş,frozen
çalışacağım,I will work
çıkardı,took off
chicago,Chicago
temin,recruitment
özgürlük,freedom
sinyal,signal
yakından,closely
bela,darned
başladın,you started
yaptıkları,what they do
konuşacak,will talk
katta,on the floor
açıdan,as well as
İzninizle,With your permission
eyalet,state
geleceği,future
uçuş,Flight
sorunum,my problem
bebeğin,Your baby
gösterir,show
tanıdık,familiar
orayı,there
kazandım,I won
şaşırdım,I am shocked
konuşacağım,I will talk
hepsinin,All of them
bırakalım,let's leave
oynuyor,playing
denir,called
minnettarım,I am grateful
tadı,its taste
sürecek,will continue
sokakta,on the street
renk,colour
eşyalarını,their belongings
kibar,kind
evini,home
laura,Laura
mahkemeye,to court
geçmişte,in the past
mucize,miracle
arkasına,behind
talep,request
yaptılar,They did
durdu,stoped
yetenekli,talented
geçecek,will pass
olmamış,unreasonable
gitmedi,did not go
olsan,if you
canımı,my life
yapmadı,did not do
hapiste,in prison
öldürdüğünü,that you killed
helen,helen
sey,thing
düşünmemiştim,I didn't think
arkada,at the back
takma,nickname
bravo,Bravo
maç,match
çizgi,line
teyze,auntie
dik,steep
bulamadım,I couldnt find it
elimizden,from our hands
maymun,the monkey
arabadan,out of the car
rahibe,nun
oğlan,boy
sorum,My question
yaşındayken,when he was
aldılar,they took
yarıyor,it works
olmayabilir,may not be
büyükanne,grandmother
öldürürüm,I kill
kazandı,won
mektubu,letter
atın,throw away
molly,molly
dondurma,ice cream
eşcinsel,gay
İçki,Drink
hayatına,to your life
tanıştım,I met
duyduğum,what I hear
emekli,retired
gördüğünü,what you see
rick,rick
oyuncak,toy
oyuncu,actor
hepimizi,all of us
geçmek,to go past
jones,Jones
olalım,let's be
sohbet,chat
ağzına,in your mouth
çözüm,solution
net,net
kadeh,glass
ross,ross
keskin,sharp
birisinin,someone
buyrun,here you are
olabiliriz,we can be
alıyorsun,you buy
nükleer,nuclear
kusursuz,perfect
ölür,It is possible
madde,matter
gözü,eye
şiddet,violence
arkadaşını,your friend
görüşme,meeting
seferinde,at the expedition
öylesine,at random
görünüyordu,it looked
izle,Watch
babamla,with my dad
amanda,amanda
laf,word
göğüs,chest
si,si
değiştirmek,to change
bakıp,looking at
korkuyorsun,you are afraid
bar,bar
getireceğim,I will bring
minik,tiny
bekleyen,waiting
acıyor,It hurts
tarz,style
intikam,revenge
garanti,guarantee
cenaze,funeral
ölüyor,is happening
japon,Japanese
kimlik,identity
atla,jump
diyorsunuz,you say
eşim,my partner
götürmek,take away
girdim,I entered
görmüyor,does not see
meyve,fruit
kötüsü,worse
cadı,witch
müfettiş,inspector
vereceksin,you will give
eş,spouse
dördüncü,fourth
belaya,in trouble
fare,mouse
anlayamıyorum,I can not understand
seri,sherry
patates,potatoes
döner,rotary
davranıyorsun,you act
hissetmiyorum,I do not feel
almanya,Germany
toprak,soil
benzin,gasoline
ruhu,spirit
götüreceğim,I will take
mahkum,prisoner
bırakmış,left -wing
gördük,We saw
uğruna,for the sake of
sigorta,insurance
gittiler,they went
oku,read
edemez,unable to
bizzat,personally
olmamız,we are not
izini,trail
farkı,difference
arıyordum,I was looking
normalde,normally
güne,to the day
vincent,Vincent
kapının,door
sorunları,problems
kişiye,to person
öldürür,kills
şükürler,thank you
neyle,with what
kendinize,to yourself
anlamaya,to understand
çalıyor,playing
yanıma,with me
seçenek,choice
paket,package
amacı,purpose
kaybettin,you lost
kalmaz,not only
yakala,Catch
kardeşini,your brother
gösterdi,showed
yedin,you ate
uzağa,away
bilinen,known
bakılırsa,on the grounds
gözünü,your eye
görür,sees
beğendim,I like 
kaçmak,to escape
yemeğine,To dinner
olursan,if you
yemeğini,your food
nu,nude
bulurum,I find
demir,iron
eşi,partner
gelmeye,to come
içindi,for
elizabeth,Elizabeth
tyler,Tyler
yaralı,wounded
güzelsin,You are beautiful
biliyorlar,they know
hazırız,we are ready
haftaya,next week
konuşurken,while talking
görmezden,ignoring
arkadaşının,Your friend
rahatla,relax
istemedi,did not want
miydim,was I
dönelim,Let's get back
umuyorum,I hope
motor,engine
olmadığımı,that I am not
fazladan,extra
yerim,I eat
alkol,alcohol
manyak,maniac
korkak,coward
içindir,for
sayı,number
merkez,centre
birinden,from someone
tehlikede,in danger
şişman,fat
greg,GREG
elveda,goodbye
bayılıyorum,I love
sırası,sequence
fred,fred
yapardım,I used to do it
zafer,victory
kalabalık,crowded
bırakıyorum,I'm quitting
yürüyün,Walk
düşünün,think
ısrar,insist
ali,Ali
yaradı,it worked
adli,judicial
yerinden,out of place
öyleyim,I am
donna,donna
işlerini,their work
altından,under
tuttum,I held it
katili,murderer
tuvalet,toilet
hasar,damage
oydu,he was
viski,whiskey
sevmiyorum,I do not like
olaylar,events
görebilir,can see
girer,enters
golf,golf
saçmalama,don't talk nonsense
patlama,explosion
idi,was
borç,debt
durup,stopping
ülkenin,The country
evimde,in my house
haberleri,news
herkesten,from everyone
gitmesine,to go
edebiliriz,we can
istiyorsanız,If you want
yılan,snake
bayıldım,I love it
yapmalısın,you should do
hikâye,story
vaktimiz,Our time
gittikçe,gradually
kurtulmak,to be saved
vampir,vampire
saldırıya,attack
söylemeyi,to say
kızların,Girls
hoşgeldiniz,welcome
verildi,given
dakikada,per minute
silahları,weapons
pasta,cake
topla,gather
sağlamak,to ensure
sonuçları,results
içi,intra-
maçı,match
olacağı,that
kurtardı,saved
bugünkü,current
koydum,I put
marcus,Marcus
yapıyordu,he was doing
risk,risk
dersi,course
annesinin,your mother
gördüğünüz,you see
komutanım,my commander
ertesi,next
diyebilirim,I can say
mac,match
jesse,Jesse
aziz,saint
charlotte,Charlotte
barry,Barry
aşkı,hanger
delilik,madness
gidiyorsunuz,you go
arkadaşların,your friends
alarm,alarm
melek,angel
justin,Justin
sevdiğimi,I love
raporu,report
katılmak,to join
ihtiyaçları,needs
çıkmaya,to go out
bıraktın,you left
geliyoruz,we are coming
kilise,church
geldiğiniz,you come
kaynağı,source
deneme,attempt
gitmen,you go
posta,mail
düşmüş,fallen
olabilirler,can be
açmak,open
İnanamıyorum,I cant believe
nate,nate
ince,thin
başardık,We succeeded
bulur,finds
indir,download
bahsetti,talked
kaydı,registration
fazlasıyla,more than enough
yaptığınız,what you do
getiren,brutally
düz,straight
kolayca,easily
kadarı,as far as
kaçırdın,you missed
he,he
çağır,call
öldüğü,died
makine,machine
demişti,he said
saate,to the clock
kardeşinin,Your brother
yıldızı,star
lordum,my lord
adresi,address
müziği,music
kulübü,club
soruşturma,investigation
öğrendin,you learned
gerekiyorsa,if necessary
fırtına,storm
öpücük,kiss
suçun,your crime
atıyor,throws
paranı,Your money
çikolata,chocolate
öğlen,afternoon
yumruk,fist
konuştuk,we talked
soracağım,I will ask
sonsuz,forever
eskisi,old one
yazdım,I wrote
hayvanlar,animals
gitmeyi,to go
hoşlanıyorum,I like
bakan,minister
paran,your money
verebilirim,I can give
terry,Terry
çalışıyorlar,they work
polisin,Police
mesajı,message
yıldan,from the year
yüzüme,on my face
savaşa,to war
başın,Press
gitmelisin,you should go
cezası,penalty
erkeklerin,Men's
olayım,let me be
içelim,let's drink
şişko,fat
andrew,Andrew
anladınız,you understand
oldukları,they are
olanlardan,from what happened
model,model
düşünme,thinking
tanrının,Your God
şarkıyı,song
oturuyor,sitting
olamam,I can't be
olmamı,not to be
parayla,With money
oyuna,game
tatmin,satisfaction
modern,modern
sihirli,magic
gününü,day
çocuklarla,with children
edemiyorum,I can't
sandviç,sandwich
derek,derek
marie,Marie
korumaya,to protect
makinesi,machine
hatırladım,I remembered
oğlunu,your son
gördüğümde,When I see
izni,permission
kimseyle,with anyone
olsaydın,if you were
meydan,square
aracı,intermediary
roy,Roy
haklıydın,you were right
bakmaya,to look at
birilerini,someone
yaşamaya,to live
erkeğin,your man
program,program
giriyor,it is entering
çekim,pull
vince,vince
anlamda,in the sense of
edeceğini,that
tarzı,his style
gündüz,daytime
cooper,cooper
inanmak,to believe
attım,I threw it
geçip,passing through
sensiz,without you
salı,Tuesday
sessizlik,silence
lois,Lois
canı,villain
verip,giving
senle,with you
annenle,With your mother
ciddiye,seriously
yokken,when there is no
lucas,lucas
tur,kind
kılıç,sword
akıllıca,wisely
açlıktan,hunger
belada,in trouble
arabayla,with car
olabilecek,possible
bilmen,knowing
kimden,from who
götürdü,took it
vermedi,did not give
affet,forgive
görmeyi,to see
beğendin,liked
sağolun,thanks
yakalamak,to capture
sabit,still
angela,Angela
kaybetmek,to lose
suyun,of water
böylesi,such
olaya,to the event
alırsın,you get
tesadüf,coincidence
görmüyorum,I do not see
rezil,infamous
görüntü,image
ayda,monthly
klasik,classical
radyo,radio
suçum,my fault
gümüş,silver
gerekeni,what is necessary
ettiğimi,that I did
kafasına,on your head
verdiğini,that he gave
etmemi,not
